Plot Title: 5C2C,#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10608581, SEN S/N: 10608581, LBL: 5C2C)",End Of File (LGR S/N: 10608581)
Plot Title: 5C2C,1,4/11/26 07:00,39.947,
Plot Title: 5C2C,2,4/11/26 08:00,40.134,
Plot Title: 5C2C,3,4/11/26 09:00,41.254,
Plot Title: 5C2C,4,4/11/26 10:00,43.466,
Plot Title: 5C2C,5,4/11/26 11:00,48.16,
Plot Title: 5C2C,6,4/11/26 12:00,47.624,
Plot Title: 5C2C,7,4/11/26 13:00,47.982,
Plot Title: 5C2C,8,4/11/26 14:00,49.937,
Plot Title: 5C2C,9,4/11/26 15:00,50.29,
Plot Title: 5C2C,10,4/11/26 16:00,49.228,
Plot Title: 5C2C,11,4/11/26 17:00,48.517,
Plot Title: 5C2C,12,4/11/26 18:00,47.266,
Plot Title: 5C2C,13,4/11/26 19:00,46.188,
Plot Title: 5C2C,14,4/11/26 20:00,44.742,
Plot Title: 5C2C,15,4/11/26 21:00,43.831,
Plot Title: 5C2C,16,4/11/26 22:00,43.466,
Plot Title: 5C2C,17,4/11/26 23:00,42.915,
Plot Title: 5C2C,18,4/12/26 00:00,41.994,
Plot Title: 5C2C,19,4/12/26 01:00,41.439,
Plot Title: 5C2C,20,4/12/26 02:00,41.254,
Plot Title: 5C2C,21,4/12/26 03:00,40.696,
Plot Title: 5C2C,22,4/12/26 04:00,40.321,
Plot Title: 5C2C,23,4/12/26 05:00,40.134,
Plot Title: 5C2C,24,4/12/26 06:00,39.947,
Plot Title: 5C2C,25,4/12/26 07:00,39.573,
Plot Title: 5C2C,26,4/12/26 08:00,39.947,
Plot Title: 5C2C,27,4/12/26 09:00,49.05,
Plot Title: 5C2C,28,4/12/26 10:00,45.104,
Plot Title: 5C2C,29,4/12/26 11:00,46.908,
Plot Title: 5C2C,30,4/12/26 12:00,46.369,
Plot Title: 5C2C,31,4/12/26 13:00,47.266,
Plot Title: 5C2C,32,4/12/26 14:00,47.982,
Plot Title: 5C2C,33,4/12/26 15:00,46.548,
Plot Title: 5C2C,34,4/12/26 16:00,46.728,
Plot Title: 5C2C,35,4/12/26 17:00,45.466,
Plot Title: 5C2C,36,4/12/26 18:00,44.195,
Plot Title: 5C2C,37,4/12/26 19:00,43.099,
