Plot Title: 5C2C,#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10608581, SEN S/N: 10608581, LBL: 5C2C)",End Of File (LGR S/N: 10608581)
Plot Title: 5C2C,38,4/12/26 20:00,41.994,
Plot Title: 5C2C,39,4/12/26 21:00,41.067,
Plot Title: 5C2C,40,4/12/26 22:00,40.509,
Plot Title: 5C2C,41,4/12/26 23:00,39.76,
Plot Title: 5C2C,42,4/13/26 00:00,39.196,
Plot Title: 5C2C,43,4/13/26 01:00,38.818,
Plot Title: 5C2C,44,4/13/26 02:00,38.44,
Plot Title: 5C2C,45,4/13/26 03:00,38.061,
Plot Title: 5C2C,46,4/13/26 04:00,38.061,
Plot Title: 5C2C,47,4/13/26 05:00,38.061,
Plot Title: 5C2C,48,4/13/26 06:00,38.061,
Plot Title: 5C2C,49,4/13/26 07:00,37.87,
Plot Title: 5C2C,50,4/13/26 08:00,38.061,
Plot Title: 5C2C,51,4/13/26 09:00,39.007,
Plot Title: 5C2C,52,4/13/26 10:00,40.696,
Plot Title: 5C2C,53,4/13/26 11:00,42.732,
Plot Title: 5C2C,54,4/13/26 12:00,44.379,
Plot Title: 5C2C,55,4/13/26 13:00,45.104,
Plot Title: 5C2C,56,4/13/26 14:00,45.828,
Plot Title: 5C2C,57,4/13/26 15:00,46.728,
Plot Title: 5C2C,58,4/13/26 16:00,44.922,
Plot Title: 5C2C,59,4/13/26 17:00,44.56,
Plot Title: 5C2C,60,4/13/26 18:00,43.099,
Plot Title: 5C2C,61,4/13/26 19:00,41.625,
Plot Title: 5C2C,62,4/13/26 20:00,40.509,
Plot Title: 5C2C,63,4/13/26 21:00,39.76,
Plot Title: 5C2C,64,4/13/26 22:00,39.196,
Plot Title: 5C2C,65,4/13/26 23:00,38.629,
Plot Title: 5C2C,66,4/14/26 00:00,38.061,
Plot Title: 5C2C,67,4/14/26 01:00,37.297,
Plot Title: 5C2C,68,4/14/26 02:00,37.297,
Plot Title: 5C2C,69,4/14/26 03:00,37.488,
Plot Title: 5C2C,70,4/14/26 04:00,37.488,
Plot Title: 5C2C,71,4/14/26 05:00,37.488,
Plot Title: 5C2C,72,4/14/26 06:00,37.488,
Plot Title: 5C2C,73,4/14/26 07:00,37.488,
Plot Title: 5C2C,74,4/14/26 08:00,37.87,
Plot Title: 5C2C,75,4/14/26 09:00,40.321,
Plot Title: 5C2C,76,4/14/26 10:00,41.439,
Plot Title: 5C2C,77,4/14/26 11:00,45.648,
Plot Title: 5C2C,78,4/14/26 12:00,45.828,
Plot Title: 5C2C,79,4/14/26 13:00,45.828,
Plot Title: 5C2C,80,4/14/26 14:00,46.728,
Plot Title: 5C2C,81,4/14/26 15:00,45.648,
Plot Title: 5C2C,82,4/14/26 16:00,45.286,
Plot Title: 5C2C,83,4/14/26 17:00,44.742,
Plot Title: 5C2C,84,4/14/26 18:00,43.466,
Plot Title: 5C2C,85,4/14/26 19:00,42.363,
Plot Title: 5C2C,86,4/14/26 20:00,41.625,
Plot Title: 5C2C,87,4/14/26 21:00,40.881,
Plot Title: 5C2C,88,4/14/26 22:00,40.321,
Plot Title: 5C2C,89,4/14/26 23:00,39.947,
Plot Title: 5C2C,90,4/15/26 00:00,39.76,
Plot Title: 5C2C,91,4/15/26 01:00,40.134,
Plot Title: 5C2C,92,4/15/26 02:00,40.134,
Plot Title: 5C2C,93,4/15/26 03:00,40.134,
Plot Title: 5C2C,94,4/15/26 04:00,39.947,
Plot Title: 5C2C,95,4/15/26 05:00,39.76,
Plot Title: 5C2C,96,4/15/26 06:00,39.76,
Plot Title: 5C2C,97,4/15/26 07:00,39.573,
Plot Title: 5C2C,98,4/15/26 08:00,39.947,
Plot Title: 5C2C,99,4/15/26 09:00,40.696,
Plot Title: 5C2C,100,4/15/26 10:00,42.548,
Plot Title: 5C2C,101,4/15/26 11:00,44.742,
Plot Title: 5C2C,102,4/15/26 12:00,44.922,
Plot Title: 5C2C,103,4/15/26 13:00,44.195,
Plot Title: 5C2C,104,4/15/26 14:00,45.828,
Plot Title: 5C2C,105,4/15/26 15:00,47.266,
Plot Title: 5C2C,106,4/15/26 16:00,46.008,
Plot Title: 5C2C,107,4/15/26 17:00,44.56,
Plot Title: 5C2C,108,4/15/26 18:00,43.831,
Plot Title: 5C2C,109,4/15/26 19:00,43.099,
Plot Title: 5C2C,110,4/15/26 20:00,41.81,
Plot Title: 5C2C,111,4/15/26 21:00,41.625,
Plot Title: 5C2C,112,4/15/26 22:00,41.625,
Plot Title: 5C2C,113,4/15/26 23:00,41.254,
Plot Title: 5C2C,114,4/16/26 00:00,38.818,
Plot Title: 5C2C,115,4/16/26 01:00,37.488,
Plot Title: 5C2C,116,4/16/26 02:00,37.107,
Plot Title: 5C2C,117,4/16/26 03:00,36.914,
Plot Title: 5C2C,118,4/16/26 04:00,36.723,
Plot Title: 5C2C,119,4/16/26 05:00,36.531,
Plot Title: 5C2C,120,4/16/26 06:00,36.531,
Plot Title: 5C2C,121,4/16/26 07:00,36.145,
Plot Title: 5C2C,122,4/16/26 08:00,36.145,
Plot Title: 5C2C,123,4/16/26 09:00,36.145,
Plot Title: 5C2C,124,4/16/26 10:00,35.951,
Plot Title: 5C2C,125,4/16/26 11:00,35.951,
Plot Title: 5C2C,126,4/16/26 12:00,35.951,
Plot Title: 5C2C,127,4/16/26 13:00,35.758,
Plot Title: 5C2C,128,4/16/26 14:00,35.758,
Plot Title: 5C2C,129,4/16/26 15:00,35.758,
Plot Title: 5C2C,130,4/16/26 16:00,35.564,
Plot Title: 5C2C,131,4/16/26 17:00,35.564,
Plot Title: 5C2C,132,4/16/26 18:00,35.564,
Plot Title: 5C2C,133,4/16/26 19:00,35.564,
Plot Title: 5C2C,134,4/16/26 20:00,35.37,
Plot Title: 5C2C,135,4/16/26 21:00,35.37,
Plot Title: 5C2C,136,4/16/26 22:00,35.37,
Plot Title: 5C2C,137,4/16/26 23:00,35.175,
Plot Title: 5C2C,138,4/17/26 00:00,35.175,
Plot Title: 5C2C,139,4/17/26 01:00,35.175,
Plot Title: 5C2C,140,4/17/26 02:00,35.175,
Plot Title: 5C2C,141,4/17/26 03:00,34.981,
Plot Title: 5C2C,142,4/17/26 04:00,34.981,
Plot Title: 5C2C,143,4/17/26 05:00,34.981,
Plot Title: 5C2C,144,4/17/26 06:00,34.786,
Plot Title: 5C2C,145,4/17/26 07:00,34.786,
Plot Title: 5C2C,146,4/17/26 08:00,34.786,
Plot Title: 5C2C,147,4/17/26 09:00,34.786,
Plot Title: 5C2C,148,4/17/26 10:00,34.786,
Plot Title: 5C2C,149,4/17/26 11:00,34.786,
Plot Title: 5C2C,150,4/17/26 12:00,34.786,
Plot Title: 5C2C,151,4/17/26 13:00,34.786,
Plot Title: 5C2C,152,4/17/26 14:00,34.59,
Plot Title: 5C2C,153,4/17/26 15:00,34.59,
Plot Title: 5C2C,154,4/17/26 16:00,34.59,
Plot Title: 5C2C,155,4/17/26 17:00,34.59,
Plot Title: 5C2C,156,4/17/26 18:00,34.59,
Plot Title: 5C2C,157,4/17/26 19:00,34.59,
Plot Title: 5C2C,158,4/17/26 20:00,34.59,
Plot Title: 5C2C,159,4/17/26 21:00,34.59,
Plot Title: 5C2C,160,4/17/26 22:00,34.59,
Plot Title: 5C2C,161,4/17/26 23:00,34.394,
Plot Title: 5C2C,162,4/18/26 00:00,34.394,
Plot Title: 5C2C,163,4/18/26 01:00,34.394,
Plot Title: 5C2C,164,4/18/26 02:00,34.394,
Plot Title: 5C2C,165,4/18/26 03:00,34.198,
Plot Title: 5C2C,166,4/18/26 04:00,34.198,
Plot Title: 5C2C,167,4/18/26 05:00,34.002,
Plot Title: 5C2C,168,4/18/26 06:00,34.002,
Plot Title: 5C2C,169,4/18/26 07:00,33.805,
Plot Title: 5C2C,170,4/18/26 08:00,33.805,
Plot Title: 5C2C,171,4/18/26 09:00,33.607,
Plot Title: 5C2C,172,4/18/26 10:00,33.805,
Plot Title: 5C2C,173,4/18/26 11:00,33.607,
Plot Title: 5C2C,174,4/18/26 12:00,33.607,
Plot Title: 5C2C,175,4/18/26 13:00,33.805,
Plot Title: 5C2C,176,4/18/26 14:00,33.805,
Plot Title: 5C2C,177,4/18/26 15:00,33.805,
Plot Title: 5C2C,178,4/18/26 16:00,33.805,
Plot Title: 5C2C,179,4/18/26 17:00,33.607,
Plot Title: 5C2C,180,4/18/26 18:00,33.805,
Plot Title: 5C2C,181,4/18/26 19:00,33.805,
Plot Title: 5C2C,182,4/18/26 20:00,33.805,
Plot Title: 5C2C,183,4/18/26 21:00,33.805,
Plot Title: 5C2C,184,4/18/26 22:00,33.805,
Plot Title: 5C2C,185,4/18/26 23:00,33.805,
Plot Title: 5C2C,186,4/19/26 00:00,33.805,
Plot Title: 5C2C,187,4/19/26 01:00,33.805,
Plot Title: 5C2C,188,4/19/26 02:00,33.805,
Plot Title: 5C2C,189,4/19/26 03:00,33.805,
Plot Title: 5C2C,190,4/19/26 04:00,33.805,
Plot Title: 5C2C,191,4/19/26 05:00,33.805,
Plot Title: 5C2C,192,4/19/26 06:00,33.805,
Plot Title: 5C2C,193,4/19/26 07:00,33.805,
Plot Title: 5C2C,194,4/19/26 08:00,33.607,
Plot Title: 5C2C,195,4/19/26 09:00,34.002,
Plot Title: 5C2C,196,4/19/26 10:00,34.002,
Plot Title: 5C2C,197,4/19/26 11:00,34.394,
Plot Title: 5C2C,198,4/19/26 12:00,35.951,
Plot Title: 5C2C,199,4/19/26 13:00,42.179,
Plot Title: 5C2C,200,4/19/26 14:00,45.466,
Plot Title: 5C2C,201,4/19/26 15:00,44.922,
Plot Title: 5C2C,202,4/19/26 16:00,43.831,
Plot Title: 5C2C,203,4/19/26 17:00,42.732,
Plot Title: 5C2C,204,4/19/26 18:00,42.363,
Plot Title: 5C2C,205,4/19/26 19:00,42.179,
Plot Title: 5C2C,206,4/19/26 20:00,41.625,
Plot Title: 5C2C,207,4/19/26 21:00,40.321,
Plot Title: 5C2C,208,4/19/26 22:00,39.196,
Plot Title: 5C2C,209,4/19/26 23:00,38.629,
Plot Title: 5C2C,210,4/20/26 00:00,38.25,
Plot Title: 5C2C,211,4/20/26 01:00,38.061,
Plot Title: 5C2C,212,4/20/26 02:00,37.679,
Plot Title: 5C2C,213,4/20/26 03:00,37.488,
Plot Title: 5C2C,214,4/20/26 04:00,37.488,
Plot Title: 5C2C,215,4/20/26 05:00,37.297,
Plot Title: 5C2C,216,4/20/26 06:00,37.107,
Plot Title: 5C2C,217,4/20/26 07:00,36.723,
Plot Title: 5C2C,218,4/20/26 08:00,36.723,
Plot Title: 5C2C,219,4/20/26 09:00,43.831,
Plot Title: 5C2C,220,4/20/26 10:00,42.548,
Plot Title: 5C2C,221,4/20/26 11:00,46.008,
Plot Title: 5C2C,222,4/20/26 12:00,49.759,
Plot Title: 5C2C,223,4/20/26 13:00,53.798,
Plot Title: 5C2C,224,4/20/26 14:00,52.225,
Plot Title: 5C2C,225,4/20/26 15:00,51.699,
Plot Title: 5C2C,226,4/20/26 16:00,49.404,
Plot Title: 5C2C,227,4/20/26 17:00,48.339,
Plot Title: 5C2C,228,4/20/26 18:00,48.16,
Plot Title: 5C2C,229,4/20/26 19:00,46.908,
Plot Title: 5C2C,230,4/20/26 20:00,46.008,
Plot Title: 5C2C,231,4/20/26 21:00,44.56,
Plot Title: 5C2C,232,4/20/26 22:00,43.282,
Plot Title: 5C2C,233,4/20/26 23:00,42.548,
Plot Title: 5C2C,234,4/21/26 00:00,41.81,
Plot Title: 5C2C,235,4/21/26 01:00,41.254,
Plot Title: 5C2C,236,4/21/26 02:00,40.696,
Plot Title: 5C2C,237,4/21/26 03:00,40.134,
Plot Title: 5C2C,238,4/21/26 04:00,39.573,
Plot Title: 5C2C,239,4/21/26 05:00,39.007,
Plot Title: 5C2C,240,4/21/26 06:00,38.629,
Plot Title: 5C2C,241,4/21/26 07:00,38.25,
Plot Title: 5C2C,242,4/21/26 08:00,38.44,
Plot Title: 5C2C,243,4/21/26 09:00,42.915,
Plot Title: 5C2C,244,4/21/26 10:00,43.282,
Plot Title: 5C2C,245,4/21/26 11:00,47.624,
Plot Title: 5C2C,246,4/21/26 12:00,51.172,
Plot Title: 5C2C,247,4/21/26 13:00,52.925,
Plot Title: 5C2C,248,4/21/26 14:00,53.449,
Plot Title: 5C2C,249,4/21/26 15:00,52.401,
Plot Title: 5C2C,250,4/21/26 16:00,51.699,
Plot Title: 5C2C,251,4/21/26 17:00,50.466,
Plot Title: 5C2C,252,4/21/26 18:00,50.113,
Plot Title: 5C2C,253,4/21/26 19:00,49.582,
Plot Title: 5C2C,254,4/21/26 20:00,48.871,
Plot Title: 5C2C,255,4/21/26 21:00,47.088,
Plot Title: 5C2C,256,4/21/26 22:00,45.828,
Plot Title: 5C2C,257,4/21/26 23:00,44.742,
Plot Title: 5C2C,258,4/22/26 00:00,44.379,
Plot Title: 5C2C,259,4/22/26 01:00,44.013,
Plot Title: 5C2C,260,4/22/26 02:00,44.013,
Plot Title: 5C2C,261,4/22/26 03:00,43.466,
Plot Title: 5C2C,262,4/22/26 04:00,42.732,
Plot Title: 5C2C,263,4/22/26 05:00,42.179,
Plot Title: 5C2C,264,4/22/26 06:00,41.625,
Plot Title: 5C2C,265,4/22/26 07:00,41.067,
Plot Title: 5C2C,266,4/22/26 08:00,41.254,
Plot Title: 5C2C,267,4/22/26 09:00,49.759,
Plot Title: 5C2C,268,4/22/26 10:00,47.266,
Plot Title: 5C2C,269,4/22/26 11:00,47.802,
Plot Title: 5C2C,270,4/22/26 12:00,49.937,
Plot Title: 5C2C,271,4/22/26 13:00,51.523,
Plot Title: 5C2C,272,4/22/26 14:00,50.29,
Plot Title: 5C2C,273,4/22/26 15:00,48.517,
Plot Title: 5C2C,274,4/22/26 16:00,46.728,
Plot Title: 5C2C,275,4/22/26 17:00,46.728,
Plot Title: 5C2C,276,4/22/26 18:00,45.466,
Plot Title: 5C2C,277,4/22/26 19:00,44.742,
Plot Title: 5C2C,278,4/22/26 20:00,43.466,
Plot Title: 5C2C,279,4/22/26 21:00,42.915,
Plot Title: 5C2C,280,4/22/26 22:00,42.179,
Plot Title: 5C2C,281,4/22/26 23:00,41.439,
Plot Title: 5C2C,282,4/23/26 00:00,41.067,
Plot Title: 5C2C,283,4/23/26 01:00,40.696,
Plot Title: 5C2C,284,4/23/26 02:00,40.134,
Plot Title: 5C2C,285,4/23/26 03:00,39.76,
Plot Title: 5C2C,286,4/23/26 04:00,39.007,
Plot Title: 5C2C,287,4/23/26 05:00,38.629,
Plot Title: 5C2C,288,4/23/26 06:00,38.061,
Plot Title: 5C2C,289,4/23/26 07:00,37.87,
Plot Title: 5C2C,290,4/23/26 08:00,38.25,
Plot Title: 5C2C,291,4/23/26 09:00,44.922,
Plot Title: 5C2C,292,4/23/26 10:00,42.363,
Plot Title: 5C2C,293,4/23/26 11:00,42.179,
Plot Title: 5C2C,294,4/23/26 12:00,41.439,
Plot Title: 5C2C,295,4/23/26 13:00,38.44,
Plot Title: 5C2C,296,4/23/26 14:00,37.297,
Plot Title: 5C2C,297,4/23/26 15:00,37.107,
Plot Title: 5C2C,298,4/23/26 16:00,36.914,
Plot Title: 5C2C,299,4/23/26 17:00,36.531,
Plot Title: 5C2C,300,4/23/26 18:00,36.145,
Plot Title: 5C2C,301,4/23/26 19:00,36.145,
Plot Title: 5C2C,302,4/23/26 20:00,36.145,
Plot Title: 5C2C,303,4/23/26 21:00,36.145,
Plot Title: 5C2C,304,4/23/26 22:00,35.951,
Plot Title: 5C2C,305,4/23/26 23:00,35.951,
Plot Title: 5C2C,306,4/24/26 00:00,35.758,
Plot Title: 5C2C,307,4/24/26 01:00,35.758,
Plot Title: 5C2C,308,4/24/26 02:00,35.758,
Plot Title: 5C2C,309,4/24/26 03:00,35.564,
Plot Title: 5C2C,310,4/24/26 04:00,35.564,
Plot Title: 5C2C,311,4/24/26 05:00,35.37,
Plot Title: 5C2C,312,4/24/26 06:00,35.37,
Plot Title: 5C2C,313,4/24/26 07:00,35.37,
Plot Title: 5C2C,314,4/24/26 08:00,35.175,
Plot Title: 5C2C,315,4/24/26 09:00,35.175,
Plot Title: 5C2C,316,4/24/26 10:00,35.175,
Plot Title: 5C2C,317,4/24/26 11:00,35.175,
Plot Title: 5C2C,318,4/24/26 12:00,35.175,
Plot Title: 5C2C,319,4/24/26 13:00,35.175,
Plot Title: 5C2C,320,4/24/26 14:00,35.175,
Plot Title: 5C2C,321,4/24/26 15:00,34.981,
Plot Title: 5C2C,322,4/24/26 16:00,34.981,
Plot Title: 5C2C,323,4/24/26 17:00,34.786,
Plot Title: 5C2C,324,4/24/26 18:00,34.786,
Plot Title: 5C2C,325,4/24/26 19:00,34.786,
Plot Title: 5C2C,326,4/24/26 20:00,34.786,
Plot Title: 5C2C,327,4/24/26 21:00,34.59,
Plot Title: 5C2C,328,4/24/26 22:00,34.59,
Plot Title: 5C2C,329,4/24/26 23:00,34.59,
Plot Title: 5C2C,330,4/25/26 00:00,34.59,
Plot Title: 5C2C,331,4/25/26 01:00,34.394,
Plot Title: 5C2C,332,4/25/26 02:00,34.394,
Plot Title: 5C2C,333,4/25/26 03:00,34.394,
Plot Title: 5C2C,334,4/25/26 04:00,34.394,
Plot Title: 5C2C,335,4/25/26 05:00,34.198,
Plot Title: 5C2C,336,4/25/26 06:00,34.198,
Plot Title: 5C2C,337,4/25/26 07:00,34.198,
Plot Title: 5C2C,338,4/25/26 08:00,34.198,
Plot Title: 5C2C,339,4/25/26 09:00,34.198,
Plot Title: 5C2C,340,4/25/26 10:00,34.198,
Plot Title: 5C2C,341,4/25/26 11:00,34.198,
Plot Title: 5C2C,342,4/25/26 12:00,34.198,
Plot Title: 5C2C,343,4/25/26 13:00,34.394,
Plot Title: 5C2C,344,4/25/26 14:00,34.394,
Plot Title: 5C2C,345,4/25/26 15:00,34.394,
Plot Title: 5C2C,346,4/25/26 16:00,34.394,
Plot Title: 5C2C,347,4/25/26 17:00,34.394,
Plot Title: 5C2C,348,4/25/26 18:00,34.394,
Plot Title: 5C2C,349,4/25/26 19:00,34.394,
Plot Title: 5C2C,350,4/25/26 20:00,34.198,
Plot Title: 5C2C,351,4/25/26 21:00,34.198,
Plot Title: 5C2C,352,4/25/26 22:00,34.198,
Plot Title: 5C2C,353,4/25/26 23:00,34.198,
Plot Title: 5C2C,354,4/26/26 00:00,34.002,
Plot Title: 5C2C,355,4/26/26 01:00,34.002,
Plot Title: 5C2C,356,4/26/26 02:00,34.002,
Plot Title: 5C2C,357,4/26/26 03:00,33.805,
Plot Title: 5C2C,358,4/26/26 04:00,33.805,
Plot Title: 5C2C,359,4/26/26 05:00,33.607,
Plot Title: 5C2C,360,4/26/26 06:00,33.607,
Plot Title: 5C2C,361,4/26/26 07:00,33.607,
Plot Title: 5C2C,362,4/26/26 08:00,33.411,
Plot Title: 5C2C,363,4/26/26 09:00,33.411,
Plot Title: 5C2C,364,4/26/26 10:00,33.411,
Plot Title: 5C2C,365,4/26/26 11:00,33.411,
Plot Title: 5C2C,366,4/26/26 12:00,33.411,
Plot Title: 5C2C,367,4/26/26 13:00,33.607,
Plot Title: 5C2C,368,4/26/26 14:00,33.805,
Plot Title: 5C2C,369,4/26/26 15:00,33.805,
Plot Title: 5C2C,370,4/26/26 16:00,34.002,
Plot Title: 5C2C,371,4/26/26 17:00,34.002,
Plot Title: 5C2C,372,4/26/26 18:00,34.002,
Plot Title: 5C2C,373,4/26/26 19:00,34.002,
Plot Title: 5C2C,374,4/26/26 20:00,34.002,
Plot Title: 5C2C,375,4/26/26 21:00,33.805,
Plot Title: 5C2C,376,4/26/26 22:00,33.805,
Plot Title: 5C2C,377,4/26/26 23:00,33.805,
Plot Title: 5C2C,378,4/27/26 00:00,33.607,
Plot Title: 5C2C,379,4/27/26 01:00,33.607,
Plot Title: 5C2C,380,4/27/26 02:00,33.607,
Plot Title: 5C2C,381,4/27/26 03:00,33.411,
Plot Title: 5C2C,382,4/27/26 04:00,33.411,
Plot Title: 5C2C,383,4/27/26 05:00,33.411,
Plot Title: 5C2C,384,4/27/26 06:00,33.411,
Plot Title: 5C2C,385,4/27/26 07:00,33.213,
Plot Title: 5C2C,386,4/27/26 08:00,33.213,
Plot Title: 5C2C,387,4/27/26 09:00,33.213,
Plot Title: 5C2C,388,4/27/26 10:00,33.213,
Plot Title: 5C2C,389,4/27/26 11:00,33.411,
Plot Title: 5C2C,390,4/27/26 12:00,33.805,
Plot Title: 5C2C,391,4/27/26 13:00,36.145,
Plot Title: 5C2C,392,4/27/26 14:00,36.914,
Plot Title: 5C2C,393,4/27/26 15:00,37.87,
Plot Title: 5C2C,394,4/27/26 16:00,37.87,
Plot Title: 5C2C,395,4/27/26 17:00,36.914,
Plot Title: 5C2C,396,4/27/26 18:00,35.564,
Plot Title: 5C2C,397,4/27/26 19:00,35.37,
Plot Title: 5C2C,398,4/27/26 20:00,34.786,
Plot Title: 5C2C,399,4/27/26 21:00,34.198,
Plot Title: 5C2C,400,4/27/26 22:00,34.002,
Plot Title: 5C2C,401,4/27/26 23:00,33.805,
Plot Title: 5C2C,402,4/28/26 00:00,33.805,
Plot Title: 5C2C,403,4/28/26 01:00,33.607,
Plot Title: 5C2C,404,4/28/26 02:00,33.607,
Plot Title: 5C2C,405,4/28/26 03:00,33.411,
Plot Title: 5C2C,406,4/28/26 04:00,33.411,
Plot Title: 5C2C,407,4/28/26 05:00,33.213,
Plot Title: 5C2C,408,4/28/26 06:00,33.213,
Plot Title: 5C2C,409,4/28/26 07:00,33.213,
Plot Title: 5C2C,410,4/28/26 08:00,33.213,
Plot Title: 5C2C,411,4/28/26 09:00,33.213,
Plot Title: 5C2C,412,4/28/26 10:00,36.338,
Plot Title: 5C2C,413,4/28/26 11:00,38.629,Logged
