Plot Title: 2S1C,#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10567956, SEN S/N: 10567956, LBL: 2S1C)",End Of File (LGR S/N: 10567956)
Plot Title: 2S1C,1,5/5/26 11:00,68.248,
Plot Title: 2S1C,2,5/5/26 11:15,69.107,
Plot Title: 2S1C,3,5/5/26 11:30,68.421,
Plot Title: 2S1C,4,5/5/26 11:45,67.735,
Plot Title: 2S1C,5,5/5/26 12:00,66.193,
Plot Title: 2S1C,6,5/5/26 12:15,64.481,
Plot Title: 2S1C,7,5/5/26 12:30,60.024,
Plot Title: 2S1C,8,5/5/26 12:45,60.195,
Plot Title: 2S1C,9,5/5/26 13:00,56.75,
Plot Title: 2S1C,10,5/5/26 13:15,54.322,
Plot Title: 2S1C,11,5/5/26 13:30,54.322,
Plot Title: 2S1C,12,5/5/26 13:45,53.449,
Plot Title: 2S1C,13,5/5/26 14:00,53.973,
Plot Title: 2S1C,14,5/5/26 14:15,54.147,
Plot Title: 2S1C,15,5/5/26 14:30,55.189,
Plot Title: 2S1C,16,5/5/26 14:45,53.449,
Plot Title: 2S1C,17,5/5/26 15:00,52.576,
Plot Title: 2S1C,18,5/5/26 15:15,51.699,
Plot Title: 2S1C,19,5/5/26 15:30,49.937,
Plot Title: 2S1C,20,5/5/26 15:45,49.937,
Plot Title: 2S1C,21,5/5/26 16:00,51.172,
Plot Title: 2S1C,22,5/5/26 16:15,50.643,
Plot Title: 2S1C,23,5/5/26 16:30,49.404,
Plot Title: 2S1C,24,5/5/26 16:45,48.339,
Plot Title: 2S1C,25,5/5/26 17:00,48.339,
Plot Title: 2S1C,26,5/5/26 17:15,47.982,
Plot Title: 2S1C,27,5/5/26 17:30,46.908,
Plot Title: 2S1C,28,5/5/26 17:45,45.828,
Plot Title: 2S1C,29,5/5/26 18:00,44.379,
Plot Title: 2S1C,30,5/5/26 18:15,41.994,
Plot Title: 2S1C,31,5/5/26 18:30,41.994,
Plot Title: 2S1C,32,5/5/26 18:45,40.321,
Plot Title: 2S1C,33,5/5/26 19:00,39.947,
Plot Title: 2S1C,34,5/5/26 19:15,39.573,
Plot Title: 2S1C,35,5/5/26 19:30,39.007,
Plot Title: 2S1C,36,5/5/26 19:45,38.818,
Plot Title: 2S1C,37,5/5/26 20:00,38.629,
Plot Title: 2S1C,38,5/5/26 20:15,38.061,
Plot Title: 2S1C,39,5/5/26 20:30,37.87,
Plot Title: 2S1C,40,5/5/26 20:45,37.679,
Plot Title: 2S1C,41,5/5/26 21:00,37.488,
Plot Title: 2S1C,42,5/5/26 21:15,37.297,
Plot Title: 2S1C,43,5/5/26 21:30,36.914,
Plot Title: 2S1C,44,5/5/26 21:45,36.723,
Plot Title: 2S1C,45,5/5/26 22:00,36.531,
Plot Title: 2S1C,46,5/5/26 22:15,36.338,
Plot Title: 2S1C,47,5/5/26 22:30,36.145,
Plot Title: 2S1C,48,5/5/26 22:45,36.145,
Plot Title: 2S1C,49,5/5/26 23:00,35.951,
Plot Title: 2S1C,50,5/5/26 23:15,35.758,
Plot Title: 2S1C,51,5/5/26 23:30,35.564,
Plot Title: 2S1C,52,5/5/26 23:45,35.175,
Plot Title: 2S1C,53,5/6/26 00:00,34.981,
Plot Title: 2S1C,54,5/6/26 00:15,34.981,
Plot Title: 2S1C,55,5/6/26 00:30,34.786,
Plot Title: 2S1C,56,5/6/26 00:45,34.59,
Plot Title: 2S1C,57,5/6/26 01:00,34.394,
Plot Title: 2S1C,58,5/6/26 01:15,34.394,
Plot Title: 2S1C,59,5/6/26 01:30,34.198,
Plot Title: 2S1C,60,5/6/26 01:45,34.002,
Plot Title: 2S1C,61,5/6/26 02:00,33.805,
Plot Title: 2S1C,62,5/6/26 02:15,33.607,
Plot Title: 2S1C,63,5/6/26 02:30,33.607,
Plot Title: 2S1C,64,5/6/26 02:45,33.411,
Plot Title: 2S1C,65,5/6/26 03:00,33.213,
Plot Title: 2S1C,66,5/6/26 03:15,33.013,
Plot Title: 2S1C,67,5/6/26 03:30,32.815,
Plot Title: 2S1C,68,5/6/26 03:45,32.815,
Plot Title: 2S1C,69,5/6/26 04:00,32.617,
Plot Title: 2S1C,70,5/6/26 04:15,32.617,
Plot Title: 2S1C,71,5/6/26 04:30,32.418,
Plot Title: 2S1C,72,5/6/26 04:45,32.218,
Plot Title: 2S1C,73,5/6/26 05:00,32.218,
Plot Title: 2S1C,74,5/6/26 05:15,32.018,
Plot Title: 2S1C,75,5/6/26 05:30,31.816,
Plot Title: 2S1C,76,5/6/26 05:45,31.617,
Plot Title: 2S1C,77,5/6/26 06:00,31.617,
Plot Title: 2S1C,78,5/6/26 06:15,31.415,
Plot Title: 2S1C,79,5/6/26 06:30,31.415,
Plot Title: 2S1C,80,5/6/26 06:45,31.415,
Plot Title: 2S1C,81,5/6/26 07:00,31.415,
Plot Title: 2S1C,82,5/6/26 07:15,31.415,
Plot Title: 2S1C,83,5/6/26 07:30,31.617,
Plot Title: 2S1C,84,5/6/26 07:45,32.018,
