Plot Title: 2S1C,#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10567956, SEN S/N: 10567956, LBL: 2S1C)",End Of File (LGR S/N: 10567956)
Plot Title: 2S1C,85,5/6/26 08:00,32.418,
Plot Title: 2S1C,86,5/6/26 08:15,32.617,
Plot Title: 2S1C,87,5/6/26 08:30,32.815,
Plot Title: 2S1C,88,5/6/26 08:45,34.198,
Plot Title: 2S1C,89,5/6/26 09:00,41.067,
Plot Title: 2S1C,90,5/6/26 09:15,48.339,
Plot Title: 2S1C,91,5/6/26 09:30,53.798,
Plot Title: 2S1C,92,5/6/26 09:45,57.958,
Plot Title: 2S1C,93,5/6/26 10:00,61.398,
Plot Title: 2S1C,94,5/6/26 10:15,64.139,
Plot Title: 2S1C,95,5/6/26 10:30,66.537,
Plot Title: 2S1C,96,5/6/26 10:45,68.592,
Plot Title: 2S1C,97,5/6/26 11:00,70.48,
Plot Title: 2S1C,98,5/6/26 11:15,71.683,
Plot Title: 2S1C,99,5/6/26 11:30,73.407,
Plot Title: 2S1C,100,5/6/26 11:45,74.619,
Plot Title: 2S1C,101,5/6/26 12:00,75.659,
Plot Title: 2S1C,102,5/6/26 12:15,77.225,
Plot Title: 2S1C,103,5/6/26 12:30,77.749,
Plot Title: 2S1C,104,5/6/26 12:45,78.624,
Plot Title: 2S1C,105,5/6/26 13:00,79.502,
Plot Title: 2S1C,106,5/6/26 13:15,79.853,
Plot Title: 2S1C,107,5/6/26 13:30,80.559,
Plot Title: 2S1C,108,5/6/26 13:45,80.206,
Plot Title: 2S1C,109,5/6/26 14:00,79.502,
Plot Title: 2S1C,110,5/6/26 14:15,78.975,
Plot Title: 2S1C,111,5/6/26 14:30,78.274,
Plot Title: 2S1C,112,5/6/26 14:45,76.181,
Plot Title: 2S1C,113,5/6/26 15:00,69.793,
Plot Title: 2S1C,114,5/6/26 15:15,65.851,
Plot Title: 2S1C,115,5/6/26 15:30,62.769,
Plot Title: 2S1C,116,5/6/26 15:45,60.883,
Plot Title: 2S1C,117,5/6/26 16:00,59.68,
Plot Title: 2S1C,118,5/6/26 16:15,58.647,
Plot Title: 2S1C,119,5/6/26 16:30,57.785,
Plot Title: 2S1C,120,5/6/26 16:45,56.75,
Plot Title: 2S1C,121,5/6/26 17:00,56.404,
Plot Title: 2S1C,122,5/6/26 17:15,55.884,
Plot Title: 2S1C,123,5/6/26 17:30,55.364,
Plot Title: 2S1C,124,5/6/26 17:45,54.147,
Plot Title: 2S1C,125,5/6/26 18:00,53.798,
Plot Title: 2S1C,126,5/6/26 18:15,53.623,
Plot Title: 2S1C,127,5/6/26 18:30,52.576,
Plot Title: 2S1C,128,5/6/26 18:45,52.05,
Plot Title: 2S1C,129,5/6/26 19:00,51.172,
Plot Title: 2S1C,130,5/6/26 19:15,50.466,
Plot Title: 2S1C,131,5/6/26 19:30,49.759,
Plot Title: 2S1C,132,5/6/26 19:45,49.228,
Plot Title: 2S1C,133,5/6/26 20:00,48.695,
Plot Title: 2S1C,134,5/6/26 20:15,48.517,
Plot Title: 2S1C,135,5/6/26 20:30,47.982,
Plot Title: 2S1C,136,5/6/26 20:45,47.624,
Plot Title: 2S1C,137,5/6/26 21:00,47.088,
Plot Title: 2S1C,138,5/6/26 21:15,46.728,
Plot Title: 2S1C,139,5/6/26 21:30,46.548,
Plot Title: 2S1C,140,5/6/26 21:45,46.369,
Plot Title: 2S1C,141,5/6/26 22:00,46.188,
Plot Title: 2S1C,142,5/6/26 22:15,45.828,
Plot Title: 2S1C,143,5/6/26 22:30,45.466,
Plot Title: 2S1C,144,5/6/26 22:45,45.286,
Plot Title: 2S1C,145,5/6/26 23:00,45.104,
Plot Title: 2S1C,146,5/6/26 23:15,44.922,
Plot Title: 2S1C,147,5/6/26 23:30,44.56,
Plot Title: 2S1C,148,5/6/26 23:45,44.195,
Plot Title: 2S1C,149,5/7/26 00:00,44.195,
Plot Title: 2S1C,150,5/7/26 00:15,44.013,
Plot Title: 2S1C,151,5/7/26 00:30,44.013,
Plot Title: 2S1C,152,5/7/26 00:45,43.831,
Plot Title: 2S1C,153,5/7/26 01:00,43.831,
Plot Title: 2S1C,154,5/7/26 01:15,43.466,
Plot Title: 2S1C,155,5/7/26 01:30,43.282,
Plot Title: 2S1C,156,5/7/26 01:45,43.099,
Plot Title: 2S1C,157,5/7/26 02:00,43.099,
Plot Title: 2S1C,158,5/7/26 02:15,43.099,
Plot Title: 2S1C,159,5/7/26 02:30,42.915,
Plot Title: 2S1C,160,5/7/26 02:45,42.732,
Plot Title: 2S1C,161,5/7/26 03:00,42.732,
Plot Title: 2S1C,162,5/7/26 03:15,42.732,
Plot Title: 2S1C,163,5/7/26 03:30,41.81,
Plot Title: 2S1C,164,5/7/26 03:45,41.067,
Plot Title: 2S1C,165,5/7/26 04:00,40.509,
Plot Title: 2S1C,166,5/7/26 04:15,40.321,
Plot Title: 2S1C,167,5/7/26 04:30,40.321,
Plot Title: 2S1C,168,5/7/26 04:45,39.947,
Plot Title: 2S1C,169,5/7/26 05:00,39.76,
Plot Title: 2S1C,170,5/7/26 05:15,40.134,
Plot Title: 2S1C,171,5/7/26 05:30,39.76,
Plot Title: 2S1C,172,5/7/26 05:45,39.573,
Plot Title: 2S1C,173,5/7/26 06:00,39.76,
Plot Title: 2S1C,174,5/7/26 06:15,40.321,
Plot Title: 2S1C,175,5/7/26 06:30,40.509,
Plot Title: 2S1C,176,5/7/26 06:45,40.321,
Plot Title: 2S1C,177,5/7/26 07:00,39.947,
Plot Title: 2S1C,178,5/7/26 07:15,40.321,
Plot Title: 2S1C,179,5/7/26 07:30,41.254,
Plot Title: 2S1C,180,5/7/26 07:45,42.548,
Plot Title: 2S1C,181,5/7/26 08:00,44.56,
Plot Title: 2S1C,182,5/7/26 08:15,48.16,
Plot Title: 2S1C,183,5/7/26 08:30,53.449,
Plot Title: 2S1C,184,5/7/26 08:45,57.268,
Plot Title: 2S1C,185,5/7/26 09:00,59.851,
Plot Title: 2S1C,186,5/7/26 09:15,61.398,
Plot Title: 2S1C,187,5/7/26 09:30,63.626,
Plot Title: 2S1C,188,5/7/26 09:45,66.193,
Plot Title: 2S1C,189,5/7/26 10:00,65.851,
Plot Title: 2S1C,190,5/7/26 10:15,65.167,
Plot Title: 2S1C,191,5/7/26 10:30,62.94,
Plot Title: 2S1C,192,5/7/26 10:45,64.139,
Plot Title: 2S1C,193,5/7/26 11:00,67.221,
Plot Title: 2S1C,194,5/7/26 11:15,69.622,
Plot Title: 2S1C,195,5/7/26 11:30,64.31,
Plot Title: 2S1C,196,5/7/26 11:45,67.564,
Plot Title: 2S1C,197,5/7/26 12:00,73.753,
Plot Title: 2S1C,198,5/7/26 12:15,76.876,
Plot Title: 2S1C,199,5/7/26 12:30,76.528,
Plot Title: 2S1C,200,5/7/26 12:45,75.312,
Plot Title: 2S1C,201,5/7/26 13:00,71.339,
Plot Title: 2S1C,202,5/7/26 13:15,68.934,
Plot Title: 2S1C,203,5/7/26 13:30,65.338,
Plot Title: 2S1C,204,5/7/26 13:45,63.111,
Plot Title: 2S1C,205,5/7/26 14:00,61.912,
Plot Title: 2S1C,206,5/7/26 14:15,65.68,
Plot Title: 2S1C,207,5/7/26 14:30,64.139,
Plot Title: 2S1C,208,5/7/26 14:45,62.769,
Plot Title: 2S1C,209,5/7/26 15:00,62.254,
Plot Title: 2S1C,210,5/7/26 15:15,62.254,
Plot Title: 2S1C,211,5/7/26 15:30,61.227,
Plot Title: 2S1C,212,5/7/26 15:45,60.539,
Plot Title: 2S1C,213,5/7/26 16:00,59.508,
Plot Title: 2S1C,214,5/7/26 16:15,58.82,
Plot Title: 2S1C,215,5/7/26 16:30,58.476,
Plot Title: 2S1C,216,5/7/26 16:45,57.958,
Plot Title: 2S1C,217,5/7/26 17:00,57.441,
Plot Title: 2S1C,218,5/7/26 17:15,56.923,
Plot Title: 2S1C,219,5/7/26 17:30,56.404,
Plot Title: 2S1C,220,5/7/26 17:45,56.23,
Plot Title: 2S1C,221,5/7/26 18:00,55.537,
Plot Title: 2S1C,222,5/7/26 18:15,54.322,
Plot Title: 2S1C,223,5/7/26 18:30,53.623,
Plot Title: 2S1C,224,5/7/26 18:45,53.1,
Plot Title: 2S1C,225,5/7/26 19:00,52.75,
Plot Title: 2S1C,226,5/7/26 19:15,52.05,
Plot Title: 2S1C,227,5/7/26 19:30,51.523,
Plot Title: 2S1C,228,5/7/26 19:45,50.643,
Plot Title: 2S1C,229,5/7/26 20:00,49.759,
Plot Title: 2S1C,230,5/7/26 20:15,49.228,
Plot Title: 2S1C,231,5/7/26 20:30,48.695,
Plot Title: 2S1C,232,5/7/26 20:45,47.982,
Plot Title: 2S1C,233,5/7/26 21:00,46.728,
Plot Title: 2S1C,234,5/7/26 21:15,45.648,
Plot Title: 2S1C,235,5/7/26 21:30,44.56,
Plot Title: 2S1C,236,5/7/26 21:45,43.831,
Plot Title: 2S1C,237,5/7/26 22:00,43.099,
Plot Title: 2S1C,238,5/7/26 22:15,42.548,
Plot Title: 2S1C,239,5/7/26 22:30,41.994,
Plot Title: 2S1C,240,5/7/26 22:45,41.625,
Plot Title: 2S1C,241,5/7/26 23:00,41.254,
Plot Title: 2S1C,242,5/7/26 23:15,40.881,
Plot Title: 2S1C,243,5/7/26 23:30,40.509,
Plot Title: 2S1C,244,5/7/26 23:45,40.321,
Plot Title: 2S1C,245,5/8/26 00:00,39.947,
Plot Title: 2S1C,246,5/8/26 00:15,39.76,
Plot Title: 2S1C,247,5/8/26 00:30,39.573,
Plot Title: 2S1C,248,5/8/26 00:45,39.196,
Plot Title: 2S1C,249,5/8/26 01:00,39.007,
Plot Title: 2S1C,250,5/8/26 01:15,38.818,
Plot Title: 2S1C,251,5/8/26 01:30,38.629,
Plot Title: 2S1C,252,5/8/26 01:45,38.44,
Plot Title: 2S1C,253,5/8/26 02:00,38.629,
Plot Title: 2S1C,254,5/8/26 02:15,38.25,
Plot Title: 2S1C,255,5/8/26 02:30,38.061,
Plot Title: 2S1C,256,5/8/26 02:45,38.061,
Plot Title: 2S1C,257,5/8/26 03:00,37.87,
Plot Title: 2S1C,258,5/8/26 03:15,37.87,
Plot Title: 2S1C,259,5/8/26 03:30,37.87,
Plot Title: 2S1C,260,5/8/26 03:45,37.679,
Plot Title: 2S1C,261,5/8/26 04:00,37.679,
Plot Title: 2S1C,262,5/8/26 04:15,37.488,
Plot Title: 2S1C,263,5/8/26 04:30,37.488,
Plot Title: 2S1C,264,5/8/26 04:45,37.107,
Plot Title: 2S1C,265,5/8/26 05:00,36.914,
Plot Title: 2S1C,266,5/8/26 05:15,36.723,
Plot Title: 2S1C,267,5/8/26 05:30,36.531,
Plot Title: 2S1C,268,5/8/26 05:45,36.531,
Plot Title: 2S1C,269,5/8/26 06:00,36.338,
Plot Title: 2S1C,270,5/8/26 06:15,36.338,
Plot Title: 2S1C,271,5/8/26 06:30,36.531,
Plot Title: 2S1C,272,5/8/26 06:45,36.531,
Plot Title: 2S1C,273,5/8/26 07:00,36.914,
Plot Title: 2S1C,274,5/8/26 07:15,37.297,
Plot Title: 2S1C,275,5/8/26 07:30,38.061,
Plot Title: 2S1C,276,5/8/26 07:45,40.134,
Plot Title: 2S1C,277,5/8/26 08:00,43.099,
Plot Title: 2S1C,278,5/8/26 08:15,47.802,
Plot Title: 2S1C,279,5/8/26 08:30,52.05,
Plot Title: 2S1C,280,5/8/26 08:45,55.537,
Plot Title: 2S1C,281,5/8/26 09:00,59.68,
Plot Title: 2S1C,282,5/8/26 09:15,63.455,
Plot Title: 2S1C,283,5/8/26 09:30,66.537,
Plot Title: 2S1C,284,5/8/26 09:45,68.248,
Plot Title: 2S1C,285,5/8/26 10:00,70.308,
Plot Title: 2S1C,286,5/8/26 10:15,72.028,
Plot Title: 2S1C,287,5/8/26 10:30,75.659,
Plot Title: 2S1C,288,5/8/26 10:45,76.354,
Plot Title: 2S1C,289,5/8/26 11:00,72.718,
Plot Title: 2S1C,290,5/8/26 11:15,75.139,
Plot Title: 2S1C,291,5/8/26 11:30,79.151,
Plot Title: 2S1C,292,5/8/26 11:45,80.029,
Plot Title: 2S1C,293,5/8/26 12:00,82.508,
Plot Title: 2S1C,294,5/8/26 12:15,81.975,
Plot Title: 2S1C,295,5/8/26 12:30,83.043,
Plot Title: 2S1C,296,5/8/26 12:45,83.043,
Plot Title: 2S1C,297,5/8/26 13:00,82.864,
Plot Title: 2S1C,298,5/8/26 13:15,82.33,
Plot Title: 2S1C,299,5/8/26 13:30,80.911,
Plot Title: 2S1C,300,5/8/26 13:45,81.09,
Plot Title: 2S1C,301,5/8/26 14:00,81.442,
Plot Title: 2S1C,302,5/8/26 14:15,81.621,
Plot Title: 2S1C,303,5/8/26 14:30,78.274,
Plot Title: 2S1C,304,5/8/26 14:45,75.659,
Plot Title: 2S1C,305,5/8/26 15:00,72.372,
Plot Title: 2S1C,306,5/8/26 15:15,69.793,
Plot Title: 2S1C,307,5/8/26 15:30,68.248,
Plot Title: 2S1C,308,5/8/26 15:45,67.221,
Plot Title: 2S1C,309,5/8/26 16:00,66.022,
Plot Title: 2S1C,310,5/8/26 16:15,65.167,
Plot Title: 2S1C,311,5/8/26 16:30,64.996,
Plot Title: 2S1C,312,5/8/26 16:45,64.652,
Plot Title: 2S1C,313,5/8/26 17:00,63.968,
Plot Title: 2S1C,314,5/8/26 17:15,63.282,
Plot Title: 2S1C,315,5/8/26 17:30,62.598,
Plot Title: 2S1C,316,5/8/26 17:45,61.912,
Plot Title: 2S1C,317,5/8/26 18:00,61.054,
Plot Title: 2S1C,318,5/8/26 18:15,60.195,
Plot Title: 2S1C,319,5/8/26 18:30,58.476,
Plot Title: 2S1C,320,5/8/26 18:45,57.268,
Plot Title: 2S1C,321,5/8/26 19:00,56.404,
Plot Title: 2S1C,322,5/8/26 19:15,55.537,
Plot Title: 2S1C,323,5/8/26 19:30,54.842,
Plot Title: 2S1C,324,5/8/26 19:45,54.147,
Plot Title: 2S1C,325,5/8/26 20:00,53.449,
Plot Title: 2S1C,326,5/8/26 20:15,52.75,
Plot Title: 2S1C,327,5/8/26 20:30,52.05,
Plot Title: 2S1C,328,5/8/26 20:45,51.523,
Plot Title: 2S1C,329,5/8/26 21:00,50.995,
Plot Title: 2S1C,330,5/8/26 21:15,50.466,
Plot Title: 2S1C,331,5/8/26 21:30,49.937,
Plot Title: 2S1C,332,5/8/26 21:45,49.582,
Plot Title: 2S1C,333,5/8/26 22:00,49.228,
Plot Title: 2S1C,334,5/8/26 22:15,48.871,
Plot Title: 2S1C,335,5/8/26 22:30,48.871,
Plot Title: 2S1C,336,5/8/26 22:45,48.339,
Plot Title: 2S1C,337,5/8/26 23:00,47.446,
Plot Title: 2S1C,338,5/8/26 23:15,46.369,
Plot Title: 2S1C,339,5/8/26 23:30,45.648,
Plot Title: 2S1C,340,5/8/26 23:45,45.466,
Plot Title: 2S1C,341,5/9/26 00:00,45.286,
Plot Title: 2S1C,342,5/9/26 00:15,45.286,
Plot Title: 2S1C,343,5/9/26 00:30,44.922,
Plot Title: 2S1C,344,5/9/26 00:45,44.379,
Plot Title: 2S1C,345,5/9/26 01:00,44.195,
Plot Title: 2S1C,346,5/9/26 01:15,43.831,
Plot Title: 2S1C,347,5/9/26 01:30,43.648,
Plot Title: 2S1C,348,5/9/26 01:45,43.282,
Plot Title: 2S1C,349,5/9/26 02:00,43.099,
Plot Title: 2S1C,350,5/9/26 02:15,42.732,
Plot Title: 2S1C,351,5/9/26 02:30,42.732,
Plot Title: 2S1C,352,5/9/26 02:45,42.548,
Plot Title: 2S1C,353,5/9/26 03:00,41.81,
Plot Title: 2S1C,354,5/9/26 03:15,40.881,
Plot Title: 2S1C,355,5/9/26 03:30,40.134,
Plot Title: 2S1C,356,5/9/26 03:45,39.573,
Plot Title: 2S1C,357,5/9/26 04:00,39.007,
Plot Title: 2S1C,358,5/9/26 04:15,38.629,
Plot Title: 2S1C,359,5/9/26 04:30,38.25,
Plot Title: 2S1C,360,5/9/26 04:45,38.061,
Plot Title: 2S1C,361,5/9/26 05:00,38.25,
Plot Title: 2S1C,362,5/9/26 05:15,38.44,
Plot Title: 2S1C,363,5/9/26 05:30,38.44,
Plot Title: 2S1C,364,5/9/26 05:45,38.44,
Plot Title: 2S1C,365,5/9/26 06:00,38.629,
Plot Title: 2S1C,366,5/9/26 06:15,38.818,
Plot Title: 2S1C,367,5/9/26 06:30,39.007,
Plot Title: 2S1C,368,5/9/26 06:45,39.384,
Plot Title: 2S1C,369,5/9/26 07:00,40.134,
Plot Title: 2S1C,370,5/9/26 07:15,40.696,
Plot Title: 2S1C,371,5/9/26 07:30,41.067,
Plot Title: 2S1C,372,5/9/26 07:45,41.994,
Plot Title: 2S1C,373,5/9/26 08:00,44.56,
Plot Title: 2S1C,374,5/9/26 08:15,49.228,
Plot Title: 2S1C,375,5/9/26 08:30,53.798,
Plot Title: 2S1C,376,5/9/26 08:45,57.441,
Plot Title: 2S1C,377,5/9/26 09:00,61.054,
Plot Title: 2S1C,378,5/9/26 09:15,62.083,
Plot Title: 2S1C,379,5/9/26 09:30,58.303,
Plot Title: 2S1C,380,5/9/26 09:45,61.741,
Plot Title: 2S1C,381,5/9/26 10:00,60.883,
Plot Title: 2S1C,382,5/9/26 10:15,67.221,
Plot Title: 2S1C,383,5/9/26 10:30,66.022,
Plot Title: 2S1C,384,5/9/26 10:45,69.622,
Plot Title: 2S1C,385,5/9/26 11:00,72.891,
Plot Title: 2S1C,386,5/9/26 11:15,76.703,
Plot Title: 2S1C,387,5/9/26 11:30,72.545,
Plot Title: 2S1C,388,5/9/26 11:45,76.181,
Plot Title: 2S1C,389,5/9/26 12:00,75.484,
Plot Title: 2S1C,390,5/9/26 12:15,76.006,
Plot Title: 2S1C,391,5/9/26 12:30,79.502,
Plot Title: 2S1C,392,5/9/26 12:45,82.33,
Plot Title: 2S1C,393,5/9/26 13:00,78.449,
Plot Title: 2S1C,394,5/9/26 13:15,75.139,
Plot Title: 2S1C,395,5/9/26 13:30,76.181,
Plot Title: 2S1C,396,5/9/26 13:45,77.05,
Plot Title: 2S1C,397,5/9/26 14:00,73.062,
Plot Title: 2S1C,398,5/9/26 14:15,73.58,
Plot Title: 2S1C,399,5/9/26 14:30,75.312,
Plot Title: 2S1C,400,5/9/26 14:45,74.791,
Plot Title: 2S1C,401,5/9/26 15:00,71.683,
Plot Title: 2S1C,402,5/9/26 15:15,68.763,
Plot Title: 2S1C,403,5/9/26 15:30,67.392,
Plot Title: 2S1C,404,5/9/26 15:45,65.851,
Plot Title: 2S1C,405,5/9/26 16:00,64.31,
Plot Title: 2S1C,406,5/9/26 16:15,62.598,
Plot Title: 2S1C,407,5/9/26 16:30,61.741,
Plot Title: 2S1C,408,5/9/26 16:45,59.508,
Plot Title: 2S1C,409,5/9/26 17:00,57.614,
Plot Title: 2S1C,410,5/9/26 17:15,56.577,
Plot Title: 2S1C,411,5/9/26 17:30,55.537,
Plot Title: 2S1C,412,5/9/26 17:45,55.189,
Plot Title: 2S1C,413,5/9/26 18:00,54.495,
Plot Title: 2S1C,414,5/9/26 18:15,53.274,
Plot Title: 2S1C,415,5/9/26 18:30,52.576,
Plot Title: 2S1C,416,5/9/26 18:45,51.874,
Plot Title: 2S1C,417,5/9/26 19:00,50.995,
Plot Title: 2S1C,418,5/9/26 19:15,49.937,
Plot Title: 2S1C,419,5/9/26 19:30,49.228,
Plot Title: 2S1C,420,5/9/26 19:45,48.339,
Plot Title: 2S1C,421,5/9/26 20:00,47.802,
Plot Title: 2S1C,422,5/9/26 20:15,47.088,
Plot Title: 2S1C,423,5/9/26 20:30,46.369,
Plot Title: 2S1C,424,5/9/26 20:45,45.648,
Plot Title: 2S1C,425,5/9/26 21:00,44.922,
Plot Title: 2S1C,426,5/9/26 21:15,44.379,
Plot Title: 2S1C,427,5/9/26 21:30,43.831,
Plot Title: 2S1C,428,5/9/26 21:45,43.466,
Plot Title: 2S1C,429,5/9/26 22:00,43.099,
Plot Title: 2S1C,430,5/9/26 22:15,42.732,
Plot Title: 2S1C,431,5/9/26 22:30,42.363,
Plot Title: 2S1C,432,5/9/26 22:45,41.994,
Plot Title: 2S1C,433,5/9/26 23:00,41.81,
Plot Title: 2S1C,434,5/9/26 23:15,41.439,
Plot Title: 2S1C,435,5/9/26 23:30,41.254,
Plot Title: 2S1C,436,5/9/26 23:45,41.067,
Plot Title: 2S1C,437,5/10/26 00:00,40.696,
Plot Title: 2S1C,438,5/10/26 00:15,40.509,
Plot Title: 2S1C,439,5/10/26 00:30,40.509,
Plot Title: 2S1C,440,5/10/26 00:45,40.321,
Plot Title: 2S1C,441,5/10/26 01:00,40.134,
Plot Title: 2S1C,442,5/10/26 01:15,39.947,
Plot Title: 2S1C,443,5/10/26 01:30,39.76,
Plot Title: 2S1C,444,5/10/26 01:45,39.573,
Plot Title: 2S1C,445,5/10/26 02:00,39.384,
Plot Title: 2S1C,446,5/10/26 02:15,39.007,
Plot Title: 2S1C,447,5/10/26 02:30,38.818,
Plot Title: 2S1C,448,5/10/26 02:45,38.629,
Plot Title: 2S1C,449,5/10/26 03:00,38.44,
Plot Title: 2S1C,450,5/10/26 03:15,38.25,
Plot Title: 2S1C,451,5/10/26 03:30,38.061,
Plot Title: 2S1C,452,5/10/26 03:45,37.87,
Plot Title: 2S1C,453,5/10/26 04:00,37.679,
Plot Title: 2S1C,454,5/10/26 04:15,37.488,
Plot Title: 2S1C,455,5/10/26 04:30,37.297,
Plot Title: 2S1C,456,5/10/26 04:45,37.297,
Plot Title: 2S1C,457,5/10/26 05:00,37.107,
Plot Title: 2S1C,458,5/10/26 05:15,36.914,
Plot Title: 2S1C,459,5/10/26 05:30,36.723,
Plot Title: 2S1C,460,5/10/26 05:45,36.531,
Plot Title: 2S1C,461,5/10/26 06:00,36.531,
Plot Title: 2S1C,462,5/10/26 06:15,36.531,
Plot Title: 2S1C,463,5/10/26 06:30,36.723,
Plot Title: 2S1C,464,5/10/26 06:45,36.914,
Plot Title: 2S1C,465,5/10/26 07:00,37.297,
Plot Title: 2S1C,466,5/10/26 07:15,38.061,
Plot Title: 2S1C,467,5/10/26 07:30,39.573,
Plot Title: 2S1C,468,5/10/26 07:45,41.254,
Plot Title: 2S1C,469,5/10/26 08:00,44.013,
Plot Title: 2S1C,470,5/10/26 08:15,49.05,
Plot Title: 2S1C,471,5/10/26 08:30,54.147,
Plot Title: 2S1C,472,5/10/26 08:45,56.923,
Plot Title: 2S1C,473,5/10/26 09:00,60.712,
Plot Title: 2S1C,474,5/10/26 09:15,63.968,
Plot Title: 2S1C,475,5/10/26 09:30,67.05,
Plot Title: 2S1C,476,5/10/26 09:45,69.964,
