Location,Date,Site,Quadrat,Plant_number,D1_p,Dn1,D2_p,Dn2,suck-mite_p,SPn3,D5_p,Dn5,D4_p,Dn4,D6_ct,D6_p,Dn6,PH,PD,FlC,FrC,EFNp_a,EFN ct,EFN score
TG,6/30/2025,5,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1,0,0,0,0
TG,6/30/2025,5,2,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
TG,6/30/2025,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,0,0,0
TG,6/30/2025,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,0,0,0
TG,6/30/2025,5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1,0,0,0,0
TG,6/30/2025,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0
TG,5/20/2025,1,1,1,10,"1,2",17.1,"1,2,3",0,0,0,0,0,0.3,2,0,0,28,9,0,0,na,na,na
TG,5/20/2025,1,1,2,2.8,4,23.5,"1,3",0,0,0,0,0,0.7,2,0,0,20,10,0,0,na,na,na
TG,5/20/2025,1,1,3,11.25,"1,2",0,0,0,0,0,0,0,1.25,1,0,0,17,5,0,0,na,na,na
TG,5/20/2025,1,1,4,10.7,"2,3",34,"1,2,3",0,0,0,0,0,0.7,2,0,0,15,9,0,0,na,na,na
TG,5/20/2025,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,15,0,0,na,na,na
TG,5/20/2025,1,1,6,11.2,"2,3,4",0,0,0,0,0,0,0,0.6,2,2,1,36,20,1,0,na,na,na
TG,5/20/2025,1,1,7,15,"2,3,4",10,"1,2",0,0,0,0,0,0,1,na,2,34,12,1,0,na,na,na
TG,5/20/2025,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,na,na,na
TG,5/20/2025,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,0,0,na,na,na
TG,5/20/2025,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,0,na,na,na
TG,5/20/2025,1,1,11,0,0,0,0,0,0,0,0,0,0,1,na,1,30,14,0,0,na,na,na
TG,5/20/2025,1,1,12,0,0,0,0,0,0,0,0,0,0,1,na,1,30,15,0,0,na,na,na
TG,5/20/2025,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,na,na,na
TG,5/20/2025,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,na,na,na
TG,5/20/2025,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,na,na,na
TG,5/20/2025,1,2,1,20,"1,2,3,4",0,0,0,0,0,0,0.7,2,1,na,2,20,16,0,0,na,na,na
TG,5/20/2025,1,2,2,45,"1,2,3",0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,na,na,na
TG,5/20/2025,1,2,3,3.9,"1,2,3",0,0,0,0,0,0,0,0,1,na,2,40,13,0,0,na,na,na
TG,5/20/2025,1,2,4,7.4,2,27,"1,2,3",0,0,0,0,0,0,0,0,0,14,4,0,0,na,na,na
TG,5/20/2025,1,2,5,10,"2,3",5,3,0,0,0,0,0,0,1,na,2,30,8,0,0,na,na,na
TG,5/20/2025,1,2,6,25,"2,3,4",2.8,4,0,0,0,0,2.1,3,0,0,0,28,10,0,1,na,na,na
TG,5/20/2025,1,2,7,5,"2,3",35,"2,3",0,0,0,0,0,0,1,na,1,36,7,0,0,na,na,na
TG,5/20/2025,1,2,8,4.6,"2,3,4,54",11,1,0,0,0,0,0,0,1,na,2,63,15,1,1,na,na,na
TG,5/20/2025,1,2,9,14,"1,2,3",0,0,0,0,0,0,0,0,0,0,0,19,10,0,0,na,na,na
TG,5/20/2025,1,2,10,7.5,1,12.5,1,0,0,0,0,0,0,0,0,0,14,10,0,0,na,na,na
TG,5/20/2025,1,2,11,7,"2,3",0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,na,na,na
TG,5/20/2025,1,2,12,8.75,"1,2,3,4",0,0,0,0,0,0,2,3,1,na,3,37,11,0,1,na,na,na
TG,5/20/2025,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,na,na,na
TG,5/20/2025,1,2,14,32.5,"1,2,3",16.6,2,0,0,0,0,0,0,0,0,0,18,7,0,0,na,na,na
TG,5/20/2025,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,na,na,na
TG,5/20/2025,2,1,1,7.7,"1,2,3,4,5",0,0,0,0,0,0,3.6,1,0,0,0,40,9,1,2,na,na,na
TG,5/20/2025,2,1,2,6.8,"1,2,3,4",0.6,2,0,0,0,0,0.6,3,0,0,0,38,15,0,0,na,na,na
TG,5/20/2025,2,1,3,5,"3,4,5",0.4,5,0,0,0,0,2,"1,2,3",0,0,0,40,11,1,1,na,na,na
TG,5/20/2025,2,1,4,12.5,1,12.5,2,0,0,0,0,0,0,0,0,0,4,4,0,0,na,na,na
TG,5/20/2025,2,1,5,0.3,3,0,0,0,0,0,0,0.3,1,0,0,0,55,30,2,2,na,na,na
TG,5/20/2025,2,1,6,6.1,"2,3,4",0.5,1,0,0,0,0,1.6,"2,3",0,0,0,30,8,0,0,na,na,na
TG,5/20/2025,2,1,7,3.7,"1,2",20,"1,2",0,0,0,0,0,0,0,0,0,15,5,0,0,na,na,na
TG,5/20/2025,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,na,na,na
TG,5/20/2025,2,1,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
